"Left Behind, Not Forgotten: Reusing Regression Tests to Find Bugs in WebAssembly Runtimes",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
BugID,link,wadiff-specbench,wadiff-wasmbench,wadiff-transbench,wadiff-rtbench,wasmaker-specbench,wasmaker-wasmbench,wasmaker-llvmbench,wasmaker-rtbench,wasmaker-any,wapplique-specbench,wapplique-wasmbench,wapplique-llvmbench,wapplique-rtbench,wapplique-any,transplant,specbench,wasmbench,llvmbench,other-any,rtbench (fuzz),rtbench (transplantation),rtbench (fuzz + transplant)
,,,,,,,,,,,,,,,,,,,,,,,
reported_wasmer_cranelift_llvm_panic_modrs,https://github.com/wasmerio/wasmer/issues/5630,1,,,,,,,,FALSE,,,,,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE
reported_wasmer_llvm_num_diff_1,https://github.com/wasmerio/wasmer/issues/5631,1,,,,,,,,FALSE,,,,,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE
reported_wasmer_llvm_llvmerror-cannotselect,https://github.com/wasmerio/wasmer/issues/5663,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wasmer_llvm_llvmerror-incorrectnargs,https://github.com/wasmerio/wasmer/issues/5662,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wasmer_llvm_oob,https://github.com/wasmerio/wasmer/issues/5664,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmer_cranelift_memgrow_oob,https://github.com/wasmerio/wasmer/issues/5373,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wasmer_llvm_panic_enumrs,https://github.com/wasmerio/wasmer/issues/5661,,,,,,,,,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
reported_wasmer_llvm_timeout,https://github.com/wasmerio/wasmer/issues/5665,,,,,,1,1,1,TRUE,,,1,1,TRUE,,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE
reported_wasmer_llvm_diff_nan_compilation_error,https://github.com/wasmerio/wasmer/issues/5666,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmer_llvm_llvmerror-funcrettypemismatch,https://github.com/wasmerio/wasmer/issues/5667,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmer_llvm_segfault_llvm-codegen,https://github.com/wasmerio/wasmer/issues/5668,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmer_llvm_segfault_illegal-memory,https://github.com/wasmerio/wasmer/issues/5672,,,,,,1,,,TRUE,,,,,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE
reported_wasmer_llvm_segfault_func-exec,https://github.com/wasmerio/wasmer/issues/5681,,,,,,,,,FALSE,,,1,1,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
reported_wasmer_all_integerdividebyzero,https://github.com/wasmerio/wasmer/issues/5674,,,,,,,,,FALSE,,,,1,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmer_all_no-output,https://github.com/wasmerio/wasmer/issues/5675,,,,,,,,,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
reported_wasmer_all_stackoverflow,https://github.com/wasmerio/wasmer/issues/5682,,,,,,,,,FALSE,,,,1,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmer_all_unreachable,https://github.com/wasmerio/wasmer/issues/5684,,,,,,,,,FALSE,,,,1,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmer_cranelift_timeout,https://github.com/wasmerio/wasmer/issues/5680,,,,,,,,,FALSE,,,,1,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmer_llvm_llvmerror-phioprndtypemismatch,https://github.com/wasmerio/wasmer/issues/5685,,,,,,,,,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
reported_wasmer_llvm_num_diff_2,https://github.com/wasmerio/wasmer/issues/5687,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmer_all_no-capabilities-insufficient,https://github.com/wasmerio/wasmer/issues/5753,,,,,,,,,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
reported_wasmer_llvm_panic_intrinsics,https://github.com/wasmerio/wasmer/issues/5733,,,,,,,,,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
reported_wasmer_llvm_segfault_trampoline-corosensei,https://github.com/wasmerio/wasmer/issues/5754,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmer_llvm_segfault_incorrect-oob-reporting,https://github.com/wasmerio/wasmer/issues/5734,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,
reported_wamr_jit_type_mismatch,https://github.com/bytecodealliance/wasm-micro-runtime/issues/4480,1,,,,,,,,FALSE,,,,,FALSE,1,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
reported_wamr_jit_no-oob,https://github.com/bytecodealliance/wasm-micro-runtime/issues/4481,1,,,,,1,1,,TRUE,,,1,,TRUE,1,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE
reported_wamr_all_invalid_block_end_addr_failed,https://github.com/bytecodealliance/wasm-micro-runtime/issues/4524,,,,,,,,1,TRUE,,,,1,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wamr_aot_inf_loop_opt_segfault,https://github.com/bytecodealliance/wasm-micro-runtime/issues/4036,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wamr_aot_opt_oob,https://github.com/bytecodealliance/wasm-micro-runtime/issues/4525,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wamr_aot_num_diff_2 (NEW - wasmaker combobench),https://github.com/bytecodealliance/wasm-micro-runtime/issues/4600,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wamr_all_oob,https://github.com/bytecodealliance/wasm-micro-runtime/issues/4527,,,,,,,,,FALSE,,,1,,TRUE,1,FALSE,FALSE,TRUE,TRUE,FALSE,1,TRUE
reported_wamr_interp_oob,https://github.com/bytecodealliance/wasm-micro-runtime/issues/4061,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wamr_jit_llvmerror-cannotselect,https://github.com/bytecodealliance/wasm-micro-runtime/issues/4528,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wamr_aot_empty_import_segfault,https://github.com/bytecodealliance/wasm-micro-runtime/issues/4084,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wamr_all_timeout,https://github.com/bytecodealliance/wasm-micro-runtime/issues/4544,,,,,,,1,,TRUE,,,,,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE
reported_wamr_aot_aborted,https://github.com/bytecodealliance/wasm-micro-runtime/issues/4539,,,,,,,,,FALSE,,1,1,,TRUE,,FALSE,TRUE,TRUE,TRUE,FALSE,,FALSE
reported_wamr_invalid_unexpected_end,https://github.com/bytecodealliance/wasm-micro-runtime/issues/4601,,,,,,,,,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
,,,,,,,,,,,,,,,,,,,,,,,
reported_wasmedge_interp_no-alignmentvalidation,https://github.com/WasmEdge/WasmEdge/issues/4292,1,,,,,,,,FALSE,,,,,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE
reported_wasmedge_interp_num_diff,https://github.com/WasmEdge/WasmEdge/issues/4259,1,,,,,,,1,TRUE,,,,,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,,TRUE
reported_wasmedge_compiled_segfault,https://github.com/WasmEdge/WasmEdge/issues/4258,1,,,,,,,,FALSE,,1,,1,TRUE,,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
reported_wasmedge_no_funcref,https://github.com/WasmEdge/WasmEdge/issues/4260,1,,,,,,,,FALSE,,,,,FALSE,1,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
reported_wasmedge_compiled_num_diff,https://github.com/WasmEdge/WasmEdge/issues/4257,1,,,,,,,1,TRUE,,,,,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,,TRUE
reported_wasmedge_interp_nancanon_num_diff,https://github.com/WasmEdge/WasmEdge/issues/4057,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wasmedge_all_oob,https://github.com/WasmEdge/WasmEdge/issues/4289,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmedge_all_timeout,https://github.com/WasmEdge/WasmEdge/issues/4290,,,,,,,,1,TRUE,,,1,,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
reported_wasmedge_compilationtimeout,https://github.com/WasmEdge/WasmEdge/issues/4392,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_reduced_wasmedge_all_errorcallingstack,https://github.com/WasmEdge/WasmEdge/issues/4299,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wasmedge_all_import_error,https://github.com/WasmEdge/WasmEdge/issues/4303,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wasmedge_all_no-unreachable,https://github.com/WasmEdge/WasmEdge/issues/4305,,,,,,,,,FALSE,,,,1,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmedge_all_unreachable,https://github.com/WasmEdge/WasmEdge/issues/4304,,,,,,,,,FALSE,,,,1,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_reduced_wasmedge_interp_timeout,https://github.com/WasmEdge/WasmEdge/issues/4306,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wasmedge_compiled_assertion_aborted,https://github.com/WasmEdge/WasmEdge/issues/4325,,,,,,,,,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
reported_wasmedge_interp_lockedat_integer_too_large,https://github.com/WasmEdge/WasmEdge/issues/4378,,,,,,,,,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
reported_wasmedge_all_failed_preopened_filedescriptor,https://github.com/WasmEdge/WasmEdge/issues/4367,,,,,,,,,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL: 54,54,9,0,0,0,0,3,3,17,,0,2,6,10,,13,,,,,25,13,